Enc,Nombre,Pregunta,Rta1,Rta2,Fecha
Rosario202101,Nombre15 Apellido15,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 11:03:42
Rosario202101,Nombre36 Apellido36,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,2 para No,2,2021-02-01 11:05:39
Rosario202101,Nombre59 Apellido 59,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,2 para No,2,2021-02-01 11:09:46
Rosario202101,Nombre100 Apellido100,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 11:20:42
Rosario202101,Nombre124 Apellido124,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 11:25:43
Rosario202101,Nombre144 Apellido144,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 11:28:42
Rosario202101,Nombre205 Apellido205,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 11:40:34
Rosario202101,Nombre218 Apellido218,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 11:43:21
Rosario202101,Nombre240 Apellido240,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 11:45:31
Rosario202101,Nombre241 Apellido241,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 11:45:38
Rosario202101,Nombre248 Apellido248,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 11:46:57
Rosario202101,Nombre271 Apellido271,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 11:53:38
Rosario202101,Nombre308 Apellido308,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,2 para No,2,2021-02-01 12:02:48
Rosario202101,Nombre344 Apellido344,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 12:11:34
Rosario202101,Nombre351 Apellido351,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 12:12:40
Rosario202101,Nombre357 Apellido357,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 12:14:35
Rosario202101,Nombre383 Apellido383,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 12:18:36
Rosario202101,Nombre427 Apellido427,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 12:26:33
Rosario202101,Nombre432 Apellido432,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 12:26:57
Rosario202101,Nombre516 Apellido516,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 12:44:41
Rosario202101,Nombre524 Apellido524,¿Vive en la Ciudad de Rosario?- 1 para Si- 2 para No.,1 para Si,1,2021-02-01 12:45:38
